A̱o,MES ,ALTA,MONTO,PENSIONADOS,MONTO 
2000,1,17873, 7092640.34 ,0,0
2000,2,17540, 6980415.31 ,0,0
2000,3,17243, 6867021.60 ,0,0
2000,4,17568, 6970015.31 ,0,0
2000,5,17579, 6966346.24 ,0,0
2000,6,17599, 6957664.28 ,0,0
2000,7,16255, 6970015.31 ,0,0
2000,8,16959, 6965999.31 ,0,0
2000,9,16937, 6981036.91 ,0,0
2000,10,16495, 6971675.30 ,0,0
2000,11,16900, 6972511.11 ,0,0
2000,12,15514, 6437790.12 ,0,0
2002,1,14457, 7090367.92 ,0,0
2002,2,14170, 6683066.66 ,0,0
2002,3,14726, 6691812.57 ,0,0
2002,4,14827, 7002626.63 ,0,0
2002,5,14642, 6671591.17 ,0,0
2002,6,14792, 6645416.96 ,0,0
2002,7,13828, 6620398.60 ,0,0
2002,8,14274, 6592422.93 ,0,0
2002,9,14921, 6576332.35 ,0,0
2002,10,14246, 6558621.07 ,0,0
2002,11,14677, 6556602.23 ,0,0
2002,12,14692, 6588250.06 ,0,0
2004,1,15155, 6882924.00 ,0,0
2004,2,15027, 6595254.27 ,0,0
2004,3,14893, 6473155.86 ,0,0
2004,4,14815, 6461717.80 ,0,0
2004,5,14700, 6676720.38 ,0,0
2004,6,14586, 6382586.33 ,0,0
2004,7,14115, 6559949.09 ,0,0
2004,8,13632, 6296087.28 ,0,0
2004,9,13596, 6349163.46 ,0,0
2004,10,13553, 6496724.68 ,0,0
2004,11,13517, 6309743.40 ,0,0
2004,12,13483, 6349938.15 ,0,0
2006,1,14093, 7387087.11 ,0,0
2006,2,14504, 7009994.93 ,0,0
2006,3,14434, 6998704.37 ,0,0
2006,4,14514, 6961595.53 ,0,0
2006,5,14436, 7196937.77 ,0,0
2006,6,14127, 6972876.63 ,0,0
2006,7,14212, 7326402.59 ,0,0
2006,8,14212, 6918597.70 ,0,0
2006,9,14212, 6879203.58 ,0,0
2006,10,14212, 7073606.34 ,0,0
2006,11,14700, 7126830.73 ,0,0
2006,12,14703, 7108310.22 ,0,0
2008,1,16215, 6533967.02 ,0,0
2008,2,16188, 6338525.06 ,0,0
2008,3,15985, 6384127.14 ,0,0
2008,4,15990, 6332749.90 ,0,0
2008,5,16105, 6302007.94 ,0,0
2008,6,16209, 6248098.43 ,0,0
2008,7,16218, 7023748.65 ,0,0
2008,8,16199, 7013618.22 ,0,0
2008,9,15996, 7087968.22 ,0,0
2008,10,15887, 7153005.39 ,0,0
2008,11,16210, 7362595.36 ,3, 1295.21 
2008,12,16110, 7311735.21 ,3, 1295.21 
2010,1,15955, 7043030.77 ,56, 16163.75 
2010,2,15900, 7016871.53 ,56, 16163.75 
2010,3,16198, 7064922.87 ,56, 16163.75 
2010,4,16217, 7055791.02 ,56, 16163.75 
2010,5,16158, 7033167.36 ,56, 16163.75 
2010,6,18301, 7501683.69 ,45, 25580.70 
2010,7,18377, 7513209.31 ,46, 26306.25 
2010,8,18268, 7465019.47 ,46, 26306.25 
2010,9,18231, 7448376.07 ,46, 26864.54 
2010,10,18835, 7574741.43 ,46, 26958.35 
2010,11,18751, 7552893.26 ,47, 27188.35 
2010,12,18754, 7595717.94 ,46, 26260.85 
2012,1,19995, 9948221.00 ,48, 31297.18 
2012,2,18549, 9918559.80 ,49, 32799.24 
2012,3,19489, 9901124.03 ,49, 32147.26 
2012,4,19280, 9825647.73 ,48, 32413.58 
2012,5,19222, 9769946.75 ,49, 32729.06 
2012,6,19358, 9816719.92 ,48, 32344.28 
2012,7,19315, 9786207.19 ,51, 34466.40 
2012,8,19599, 9827565.96 ,51, 34466.40 
2012,9,20250, 9829065.56 ,51, 34262.90 
2012,10,19668, 9794725.95 ,51, 34262.90 
2012,11,19433, 9747254.30 ,51, 34262.90 
2012,12,19355, 9775324.52 ,50, 32063.85 
2014,1,18140, 8569264.18 ,51, 34264.82 
2014,2,18882, 8474143.43 ,50, 32614.82 
2014,3,18802, 8434686.50 ,50, 32614.82 
2014,4,19300, 8569565.40 ,50, 32614.82 
2014,5,19200, 8532998.42 ,50, 32614.82 
2014,6,19028, 8483901.08 ,77, 49723.36 
2014,7,19398, 8575893.21 ,77, 49090.77 
2014,8,19024, 8447664.32 ,78, 51426.46 
2014,9,19459, 8574024.18 ,77, 50872.81 
2014,10,19397, 8539678.49 ,79, 51072.46 
2014,11,19348, 8517662.00 ,78, 50624.21 
2014,12,19265, 8540790.40 ,80, 51408.29 
2016,1,17893, 9409542.27 ,81, 36990.83 
2016,2,19327, 9526343.47 ,83, 36910.67 
2016,3,19241, 8611260.60 ,86, 37431.52 
2016,4,19265, 9557935.84 ,85, 37627.54 
2016,5,19494, 9607131.36 ,85, 37627.54 
2016,6,19961, 9689094.80 ,55, 38156.28 
2016,7,20099, 9726722.23 ,57, 39086.38 
2001,1,15265, 6932947.25 ,0,0
2001,2,15789, 6929665.00 ,0,0
2001,3,15936, 6926382.75 ,0,0
2001,4,14861, 6481973.00 ,0,0
2001,5,15012, 6818343.00 ,0,0
2001,6,15578, 6816756.00 ,0,0
2001,7,13323, 6191792.00 ,0,0
2001,8,14261, 6586699.49 ,0,0
2001,9,16106, 7521412.50 ,0,0
2001,10,11896, 5702302.71 ,0,0
2001,11,13951, 6512179.04 ,0,0
2001,12,14343, 6754848.25 ,0,0
2003,1,16566, 6573713.62 ,0,0
2003,2,16566, 6592655.02 ,0,0
2003,3,16566, 6597209.87 ,0,0
2003,4,16596, 6584262.28 ,0,0
2003,5,16591, 6574777.05 ,0,0
2003,6,16591, 6559050.96 ,0,0
2003,7,15937, 6833504.60 ,0,0
2003,8,15627, 6418944.25 ,0,0
2003,9,15559, 6413135.35 ,0,0
2003,10,15518, 6558638.40 ,0,0
2003,11,15466, 6380804.34 ,0,0
2003,12,15432, 6403615.26 ,0,0
2005,1,13341, 6542859.57 ,0,0
2005,2,14364, 6774637.19 ,0,0
2005,3,14291, 6494194.77 ,0,0
2005,4,14237, 6723921.15 ,0,0
2005,5,14061, 6406884.40 ,0,0
2005,6,14240, 6397331.69 ,0,0
2005,7,13976, 6691212.85 ,0,0
2005,8,13920, 6428982.98 ,0,0
2005,9,14367, 6332219.88 ,0,0
2005,10,14329, 6596917.33 ,0,0
2005,11,14329, 6401190.35 ,0,0
2005,12,14329, 6425543.33 ,0,0
2007,1,15959, 6345410.97 ,0,0
2007,2,16223, 6396259.86 ,0,0
2007,3,16300, 6377553.95 ,0,0
2007,4,16112, 6333131.24 ,0,0
2007,5,15937, 6291987.22 ,0,0
2007,6,15929, 6286685.22 ,0,0
2007,7,15813, 6305780.21 ,0,0
2007,8,15648, 6274830.77 ,0,0
2007,9,15481, 6235190.02 ,0,0
2007,10,15481, 6258850.07 ,0,0
2007,11,15928, 6191986.98 ,0,0
2007,12,16109, 6386095.71 ,0,0
2009,1,16496, 7290401.85 ,3, 1295.21 
2009,2,16187, 7726559.02 ,3, 1295.21 
2009,3,15984, 7108457.05 ,3, 1295.21 
2009,4,15817, 7054512.63 ,3, 1295.21 
2009,5,15679, 6998978.28 ,9, 1732.50 
2009,6,15462, 6931975.11 ,9, 1732.50 
2009,7,16072, 7047598.32 ,35, 14143.45 
2009,8,15975, 7024017.98 ,38, 14501.45 
2009,9,15966, 7018154.86 ,39, 15561.35 
2009,10,15486, 6901360.52 ,40, 15893.75 
2009,11,15591, 6916807.49 ,40, 15893.75 
2009,12,15688, 9676350.47 ,56, 16163.75 
2011,1,18829, 7269359.99 ,45, 27432.95 
2011,2,19600, 8832612.60 ,45, 27432.95 
2011,3,20967, 9440051.34 ,37, 30706.78 
2011,4,19450, 9411641.35 ,37, 34130.35 
2011,5,19456, 8786707.78 ,37, 34130.35 
2011,6,19750, 9830339.92 ,36, 31415.69 
2011,7,19897, 9943339.96 ,48, 33644.30 
2011,8,19534, 9917855.25 ,48, 33617.62 
2011,9,19473, 9917855.25 ,48, 33617.62 
2011,10,19862, 10021792.52 ,49, 34647.41 
2011,11,19912, 9998534.87 ,49, 34647.41 
2011,12,19546, 9608149.68 ,48, 31873.69 
2013,1,19450, 8657339.02 ,50, 33026.16 
2013,2,18910, 8706805.52 ,48, 31367.22 
2013,3,19115, 8678506.19 ,48, 31367.22 
2013,4,19110, 8538286.66 ,47, 30583.14 
2013,5,18958, 8494987.12 ,48, 31236.14 
2013,6,19110, 8656696.01 ,48, 30883.47 
2013,7,18856, 8637179.91 ,50, 32900.37 
2013,8,18980, 8553508.99 ,50, 33853.05 
2013,9,19201, 8515934.53 ,51, 33610.53 
2013,10,19120, 8539193.82 ,51, 34009.86 
2013,11,19070, 8517379.31 ,51, 34009.86 
2013,12,19020, 8553497.75 ,51, 34009.86 
2015,1,18908, 9597291.66 ,71, 36178.90 
2015,2,19351, 10506036.37 ,88, 36428.90 
2015,3,18748, 9707115.34 ,88, 36428.90 
2015,4,19289, 9629780.27 ,88, 36428.90 
2015,5,19078, 9551157.63 ,88, 36428.90 
2015,6,18968, 8580776.27 ,88, 36428.90 
2015,7,19172, 9519140.70 ,83, 36505.40 
2015,8,18976, 9382165.23 ,81, 36178.90 
2015,9,18907, 9397487.49 ,83, 36505.40 
2015,10,19237, 9481571.48 ,83, 36505.40 
2015,11,19230, 9486460.04 ,82, 36365.15 
2015,12,19171, 9540277.40 ,87, 36564.80 
